name	tps_run	essais	tOut	pause	side	oType	oDelta	tType	tDelta	atype	quantity	tp	prix	hook

# buy
################
VAC_HIGH_SELL	0 1440	24	60	5	sell	Lm!	1.5	S-		qAtDpDo%	28	25	- +	

###
MM_SELL_UP5	0 1440	180	8	0.2	sell	L!	3	S-		qAtDpD	24	12	5 +
MM_SELL_UP2	0 1440	288	5	0.2	sell	L!	1.5	S-		qAtDpD	22	8	2 +	

# ################ ################  market price  ####################  ################

MM_BUY_DOWN2	0 1440	288	5	0.2	buy	L!	1.5	S-		qAtDpD	21	8	- -2	
MM_BUY_DOWN5	0 1440	180	8	0.2	buy	L!	3	S-		qAtDpD	23	12	- -5	

###
DOWN_SELL	0 1440	60	20	1	sell	M		S-		qAtDpD	26	14	- -5	
REBOUND_BUY	0 1440	60	20	1	buy	M		S-		qAtDpD	25	10	5 +	DOWN_SELL-tail-closed

### 
VAC_LOW_BUY	0 1440	24	60	5	buy	Lm!	1.5	S-		qAtDpDo%	27	25	- +
################
# Sell

# BMM XBT current grammar:
# Lm! with qAtDpDo% uses mark as the reference and oDelta as a percent head offset.
# L! means post-only maker liquidity. If Kraken would cross the book, the adapter/exchange rejects rather than taking liquidity.
# tOut is the unfilled-head reset timer for each attempt. Once the head fills, the pair continues normally outside tOut.
# tps_run is only the entry window for starting new attempts.
